testing_network,filename,target_class,variation,predicted_class,fastlin_eps
Dense3x47,PCA_MNIST_1_var2.png,1,var2,1,2.4755859375
Dense3x47,PCA_MNIST_1_var3.png,1,var3,1,2.5537109375
Dense3x47,PCA_MNIST_1_var4.png,1,var4,1,2.4365234375
Dense3x47,PCA_MNIST_3_var0.png,3,var0,3,3.798828125
Dense3x47,PCA_MNIST_3_var1.png,3,var1,3,4.1015625
Dense3x47,PCA_MNIST_3_var2.png,3,var2,3,5.0244140625
Dense3x47,PCA_MNIST_3_var3.png,3,var3,3,5.1904296875
Dense3x47,PCA_MNIST_3_var4.png,3,var4,3,4.6826171875
Dense2x37,PCA_MNIST_0_var0.png,0,var0,0,5.3466796875
Dense2x37,PCA_MNIST_0_var1.png,0,var1,0,6.9189453125
Dense2x37,PCA_MNIST_0_var2.png,0,var2,0,6.4599609375
Dense2x37,PCA_MNIST_0_var3.png,0,var3,0,5.517578125
Dense2x37,PCA_MNIST_0_var4.png,0,var4,0,3.9697265625
Dense2x37,PCA_MNIST_1_var0.png,1,var0,1,3.2470703125
Dense2x37,PCA_MNIST_1_var1.png,1,var1,1,3.3251953125
Dense2x37,PCA_MNIST_1_var2.png,1,var2,1,3.0224609375
Dense2x37,PCA_MNIST_1_var3.png,1,var3,1,3.0224609375
Dense2x37,PCA_MNIST_1_var4.png,1,var4,1,2.3681640625
Dense2x37,PCA_MNIST_3_var0.png,3,var0,3,4.98046875
Dense2x37,PCA_MNIST_3_var1.png,3,var1,3,5.615234375
Dense2x37,PCA_MNIST_3_var2.png,3,var2,3,5.966796875
Dense2x37,PCA_MNIST_3_var3.png,3,var3,3,5.556640625
Dense2x37,PCA_MNIST_3_var4.png,3,var4,3,4.9951171875
Dense3x33,PCA_MNIST_0_var0.png,0,var0,0,5.4443359375
Dense3x33,PCA_MNIST_0_var1.png,0,var1,0,6.9580078125
Dense3x33,PCA_MNIST_0_var2.png,0,var2,0,6.396484375
Dense3x33,PCA_MNIST_0_var3.png,0,var3,0,5.2978515625
Dense3x33,PCA_MNIST_0_var4.png,0,var4,0,3.9599609375
Dense3x33,PCA_MNIST_1_var0.png,1,var0,1,2.0751953125
Dense3x33,PCA_MNIST_1_var1.png,1,var1,1,2.3974609375
Dense3x33,PCA_MNIST_1_var2.png,1,var2,1,2.265625
Dense3x33,PCA_MNIST_1_var3.png,1,var3,1,2.2900390625
Dense3x33,PCA_MNIST_1_var4.png,1,var4,1,1.8212890625
Dense3x33,PCA_MNIST_3_var0.png,3,var0,3,3.193359375
Dense3x33,PCA_MNIST_3_var1.png,3,var1,3,3.7451171875
Dense3x33,PCA_MNIST_3_var2.png,3,var2,3,4.2578125
Dense3x33,PCA_MNIST_3_var3.png,3,var3,3,4.111328125
Dense3x33,PCA_MNIST_3_var4.png,3,var4,3,3.681640625
Dense2x18,PCA_MNIST_0_var0.png,0,var0,0,5.322265625
Dense2x18,PCA_MNIST_0_var1.png,0,var1,0,6.66015625
Dense2x18,PCA_MNIST_0_var2.png,0,var2,0,5.4931640625
Dense2x18,PCA_MNIST_0_var3.png,0,var3,0,4.462890625
Dense2x18,PCA_MNIST_0_var4.png,0,var4,0,3.154296875
Dense2x18,PCA_MNIST_1_var0.png,1,var0,1,3.6376953125
Dense2x18,PCA_MNIST_1_var1.png,1,var1,1,4.0966796875
Dense2x18,PCA_MNIST_1_var2.png,1,var2,1,4.2578125
Dense2x18,PCA_MNIST_1_var3.png,1,var3,1,3.994140625
Dense2x18,PCA_MNIST_1_var4.png,1,var4,1,3.173828125
Dense2x18,PCA_MNIST_3_var0.png,3,var0,3,4.21875
Dense2x18,PCA_MNIST_3_var1.png,3,var1,3,4.39453125
Dense2x18,PCA_MNIST_3_var2.png,3,var2,3,4.716796875
Dense2x18,PCA_MNIST_3_var3.png,3,var3,3,4.4140625
Dense2x18,PCA_MNIST_3_var4.png,3,var4,3,3.69140625
Dense3x29,PCA_MNIST_0_var0.png,0,var0,0,5.37109375
Dense3x29,PCA_MNIST_0_var1.png,0,var1,0,6.3232421875
Dense3x29,PCA_MNIST_0_var2.png,0,var2,0,5.8447265625
Dense3x29,PCA_MNIST_0_var3.png,0,var3,0,5.576171875
Dense3x29,PCA_MNIST_0_var4.png,0,var4,0,4.4580078125
Dense3x29,PCA_MNIST_1_var0.png,1,var0,1,2.509765625
Dense3x29,PCA_MNIST_1_var1.png,1,var1,1,2.6123046875
Dense3x29,PCA_MNIST_1_var2.png,1,var2,1,2.8955078125
Dense3x29,PCA_MNIST_1_var3.png,1,var3,1,2.7734375
Dense3x29,PCA_MNIST_1_var4.png,1,var4,1,2.2998046875
Dense3x29,PCA_MNIST_3_var0.png,3,var0,3,3.115234375
Dense3x29,PCA_MNIST_3_var1.png,3,var1,3,3.8916015625
Dense3x29,PCA_MNIST_3_var2.png,3,var2,3,4.775390625
Dense3x29,PCA_MNIST_3_var3.png,3,var3,3,4.931640625
Dense3x29,PCA_MNIST_3_var4.png,3,var4,3,4.248046875
Dense3x43,PCA_MNIST_0_var0.png,0,var0,0,4.7998046875
Dense3x43,PCA_MNIST_0_var1.png,0,var1,0,5.7666015625
Dense3x43,PCA_MNIST_0_var2.png,0,var2,0,5.205078125
Dense3x43,PCA_MNIST_0_var3.png,0,var3,0,4.6875
Dense3x43,PCA_MNIST_0_var4.png,0,var4,0,3.6669921875
Dense3x43,PCA_MNIST_1_var0.png,1,var0,1,2.83203125
Dense3x43,PCA_MNIST_1_var1.png,1,var1,1,2.6513671875
Dense3x43,PCA_MNIST_1_var2.png,1,var2,1,2.4072265625
Dense3x43,PCA_MNIST_1_var3.png,1,var3,1,2.880859375
Dense3x43,PCA_MNIST_1_var4.png,1,var4,1,2.7978515625
Dense3x43,PCA_MNIST_3_var0.png,3,var0,3,2.421875
Dense3x43,PCA_MNIST_3_var1.png,3,var1,3,2.7587890625
Dense3x43,PCA_MNIST_3_var2.png,3,var2,3,3.3935546875
Dense3x43,PCA_MNIST_3_var3.png,3,var3,3,3.6328125
Dense3x43,PCA_MNIST_3_var4.png,3,var4,3,3.10546875
Dense3x32,PCA_MNIST_0_var0.png,0,var0,0,5.7275390625
Dense3x32,PCA_MNIST_0_var1.png,0,var1,0,7.7099609375
Dense3x32,PCA_MNIST_0_var2.png,0,var2,0,6.9091796875
Dense3x32,PCA_MNIST_0_var3.png,0,var3,0,5.2685546875
Dense3x32,PCA_MNIST_0_var4.png,0,var4,0,3.642578125
Dense3x32,PCA_MNIST_1_var0.png,1,var0,1,3.1396484375
Dense3x32,PCA_MNIST_1_var1.png,1,var1,1,3.076171875
Dense3x32,PCA_MNIST_1_var2.png,1,var2,1,2.4462890625
Dense3x32,PCA_MNIST_1_var3.png,1,var3,1,2.6708984375
Dense3x32,PCA_MNIST_1_var4.png,1,var4,1,2.98828125
Dense3x32,PCA_MNIST_3_var0.png,3,var0,3,3.80859375
Dense3x32,PCA_MNIST_3_var1.png,3,var1,3,4.62890625
Dense3x32,PCA_MNIST_3_var2.png,3,var2,3,3.9794921875
Dense3x32,PCA_MNIST_3_var3.png,3,var3,3,4.1650390625
Dense3x32,PCA_MNIST_3_var4.png,3,var4,3,3.9306640625
Dense3x12,PCA_MNIST_0_var0.png,0,var0,0,6.4453125
Dense3x12,PCA_MNIST_0_var1.png,0,var1,0,7.744140625
Dense3x12,PCA_MNIST_0_var2.png,0,var2,0,6.9091796875
Dense3x12,PCA_MNIST_0_var3.png,0,var3,0,5.7666015625
Dense3x12,PCA_MNIST_0_var4.png,0,var4,0,4.248046875
Dense3x12,PCA_MNIST_1_var0.png,1,var0,1,2.548828125
Dense3x12,PCA_MNIST_1_var1.png,1,var1,1,2.841796875
Dense3x12,PCA_MNIST_1_var2.png,1,var2,1,2.822265625
Dense3x12,PCA_MNIST_1_var3.png,1,var3,1,2.646484375
Dense3x12,PCA_MNIST_1_var4.png,1,var4,1,2.119140625
Dense3x12,PCA_MNIST_3_var0.png,3,var0,3,3.8525390625
Dense3x12,PCA_MNIST_3_var1.png,3,var1,3,4.7998046875
Dense3x12,PCA_MNIST_3_var2.png,3,var2,3,5.224609375
Dense3x12,PCA_MNIST_3_var3.png,3,var3,3,4.638671875
Dense3x12,PCA_MNIST_3_var4.png,3,var4,3,4.1162109375
Dense2x40,PCA_MNIST_0_var0.png,0,var0,0,5.556640625
Dense2x40,PCA_MNIST_0_var1.png,0,var1,0,7.314453125
Dense2x40,PCA_MNIST_0_var2.png,0,var2,0,6.6796875
Dense2x40,PCA_MNIST_0_var3.png,0,var3,0,6.0986328125
Dense2x40,PCA_MNIST_0_var4.png,0,var4,0,4.78515625
Dense2x40,PCA_MNIST_1_var0.png,1,var0,1,3.37890625
Dense2x40,PCA_MNIST_1_var1.png,1,var1,1,3.564453125
Dense2x40,PCA_MNIST_1_var2.png,1,var2,1,3.017578125
Dense2x40,PCA_MNIST_1_var3.png,1,var3,1,3.125
Dense2x40,PCA_MNIST_1_var4.png,1,var4,1,2.5830078125
Dense2x40,PCA_MNIST_3_var0.png,3,var0,3,4.8095703125
Dense2x40,PCA_MNIST_3_var1.png,3,var1,3,5.5615234375
Dense2x40,PCA_MNIST_3_var2.png,3,var2,3,5.712890625
Dense2x40,PCA_MNIST_3_var3.png,3,var3,3,5.400390625
Dense2x40,PCA_MNIST_3_var4.png,3,var4,3,4.697265625
Dense2x19,PCA_MNIST_0_var0.png,0,var0,0,5.7421875
Dense2x19,PCA_MNIST_0_var1.png,0,var1,0,6.62109375
Dense2x19,PCA_MNIST_0_var2.png,0,var2,0,5.673828125
Dense2x19,PCA_MNIST_0_var3.png,0,var3,0,4.51171875
Dense2x19,PCA_MNIST_0_var4.png,0,var4,0,3.046875
Dense2x19,PCA_MNIST_1_var0.png,1,var0,1,4.501953125
Dense2x19,PCA_MNIST_1_var1.png,1,var1,1,4.4091796875
Dense2x19,PCA_MNIST_1_var2.png,1,var2,1,4.208984375
Dense2x19,PCA_MNIST_1_var3.png,1,var3,1,4.091796875
Dense2x19,PCA_MNIST_1_var4.png,1,var4,1,3.427734375
Dense2x19,PCA_MNIST_3_var0.png,3,var0,3,4.47265625
Dense2x19,PCA_MNIST_3_var1.png,3,var1,3,5.3515625
Dense2x19,PCA_MNIST_3_var2.png,3,var2,3,5.8056640625
Dense2x19,PCA_MNIST_3_var3.png,3,var3,3,5.2685546875
Dense2x19,PCA_MNIST_3_var4.png,3,var4,3,4.150390625
Dense3x36,PCA_MNIST_0_var0.png,0,var0,0,4.5361328125
Dense3x36,PCA_MNIST_0_var1.png,0,var1,0,5.7177734375
Dense3x36,PCA_MNIST_0_var2.png,0,var2,0,5.595703125
Dense3x36,PCA_MNIST_0_var3.png,0,var3,0,4.6728515625
Dense3x36,PCA_MNIST_0_var4.png,0,var4,0,3.4521484375
Dense3x36,PCA_MNIST_1_var0.png,1,var0,1,2.353515625
Dense3x36,PCA_MNIST_1_var1.png,1,var1,1,2.48046875
Dense3x36,PCA_MNIST_1_var2.png,1,var2,1,2.1240234375
Dense3x36,PCA_MNIST_1_var3.png,1,var3,1,2.1044921875
Dense3x36,PCA_MNIST_1_var4.png,1,var4,1,1.6796875
Dense3x36,PCA_MNIST_3_var0.png,3,var0,3,3.4228515625
Dense3x36,PCA_MNIST_3_var1.png,3,var1,3,2.6708984375
Dense3x36,PCA_MNIST_3_var2.png,3,var2,3,1.8310546875
Dense3x36,PCA_MNIST_3_var3.png,3,var3,3,2.7490234375
Dense3x36,PCA_MNIST_3_var4.png,3,var4,3,2.9150390625
Dense2x32,PCA_MNIST_0_var0.png,0,var0,0,5.732421875
Dense2x32,PCA_MNIST_0_var1.png,0,var1,0,7.6171875
Dense2x32,PCA_MNIST_0_var2.png,0,var2,0,7.2509765625
Dense2x32,PCA_MNIST_0_var3.png,0,var3,0,5.869140625
Dense2x32,PCA_MNIST_0_var4.png,0,var4,0,4.3798828125
Dense2x32,PCA_MNIST_1_var0.png,1,var0,1,3.154296875
Dense2x32,PCA_MNIST_1_var1.png,1,var1,1,3.4423828125
Dense2x32,PCA_MNIST_1_var2.png,1,var2,1,3.1005859375
Dense2x32,PCA_MNIST_1_var3.png,1,var3,1,3.0224609375
Dense2x32,PCA_MNIST_1_var4.png,1,var4,1,2.412109375
Dense2x32,PCA_MNIST_3_var0.png,3,var0,3,4.53125
Dense2x32,PCA_MNIST_3_var1.png,3,var1,3,4.697265625
Dense2x32,PCA_MNIST_3_var2.png,3,var2,3,4.9365234375
Dense2x32,PCA_MNIST_3_var3.png,3,var3,3,5.068359375
Dense2x32,PCA_MNIST_3_var4.png,3,var4,3,4.1748046875
Dense3x48,PCA_MNIST_0_var0.png,0,var0,0,4.716796875
Dense3x48,PCA_MNIST_0_var1.png,0,var1,0,5.947265625
Dense3x48,PCA_MNIST_0_var2.png,0,var2,0,5.5712890625
Dense3x48,PCA_MNIST_0_var3.png,0,var3,0,4.326171875
Dense3x48,PCA_MNIST_0_var4.png,0,var4,0,2.9736328125
Dense3x48,PCA_MNIST_1_var0.png,1,var0,1,2.5244140625
Dense3x48,PCA_MNIST_1_var1.png,1,var1,1,2.4560546875
Dense3x48,PCA_MNIST_1_var2.png,1,var2,1,2.3291015625
Dense3x48,PCA_MNIST_1_var3.png,1,var3,1,2.470703125
Dense3x48,PCA_MNIST_1_var4.png,1,var4,1,2.20703125
Dense3x48,PCA_MNIST_3_var0.png,3,var0,3,3.154296875
Dense3x48,PCA_MNIST_3_var1.png,3,var1,3,2.822265625
Dense3x48,PCA_MNIST_3_var2.png,3,var2,3,2.890625
Dense3x48,PCA_MNIST_3_var3.png,3,var3,3,3.310546875
Dense3x48,PCA_MNIST_3_var4.png,3,var4,3,2.9736328125
